cohort,rank,eigenvalue,lambda_plus,ratio,ipr,top_genes
LumA,20,12.15027603953765,8.223808931211398,1.4774511593313329,0.002078216574714331,CORO6;CAMP;KISS1R;GAL3ST2;ANXA3
LumA,21,11.298791065344105,8.223808931211398,1.3739121567455665,0.00207893377533844,HSPB8;ABHD12B;DUSP13;C2orf54;PPP1R3C
LumA,22,10.805253180338699,8.223808931211398,1.313898860092685,0.002414660791070733,HGD;PAX2;PPP1R1B;TMEM139;CYP2A6
LumA,23,9.904856386209023,8.223808931211398,1.2044122704040012,0.0019766491113775136,IL20;MMP10;C4orf19;FSIP1;PENK
LumA,24,9.691910457298926,8.223808931211398,1.1785184381553075,0.0022893853811123965,LOC283174;CAPSL;SLC7A2;TUBA3D;ADAMTS15
LumA,25,9.513514934265729,8.223808931211398,1.156825871544702,0.002330980420673679,HHIPL2;C2orf14;MKX;CCL7;CPNE4
LumA,26,8.925309352708197,8.223808931211398,1.0853011575736433,0.002487793222523798,CNTD2;SORCS1;SERPINA11;SCUBE1;CA8
LumA,27,8.718001415479403,8.223808931211398,1.0600928947160266,0.0024412748518752884,PNPLA3;SLC26A3;LRRIQ1;TUBA3E;CXCL13
LumA,28,8.277032621214724,8.223808931211398,1.0064719025513018,0.0027420344179936926,ABCC12;ABCC11;NCRNA00052;MAGEA12;EGF
LumA,29,8.25400242025431,8.223808931211398,1.0036714725859353,0.0022344811284719414,NLGN4X;C1orf168;HRASLS5;NWD1;UGT2B4
