eig1,eig2,eig3,eig4,eig5,eig6,eig7,eig8
1.056403669257353428e+01,7.065795353759700248e+00,5.424531406747197693e+00,4.258947176550154090e+00,3.651762163786024473e+00,3.072034348838020179e+00,2.752055439850742413e+00,2.244809411974530544e+00
1.030288789158923990e+01,7.067099926176167557e+00,5.321205087773212661e+00,4.299292131322459021e+00,3.903972208030291657e+00,3.003295623631544675e+00,2.789964215836616912e+00,2.212167242598349848e+00
1.096521224434218311e+01,6.805031755832700924e+00,5.224270651182879810e+00,4.130283132150855963e+00,3.670941129490769672e+00,3.047319490801040587e+00,2.787309028361080188e+00,2.145138484371706067e+00
1.081417972652819159e+01,6.767457674895368314e+00,5.163706423152467195e+00,4.058980779693375673e+00,3.633078096183926409e+00,3.069662976443087388e+00,2.752154360991946991e+00,2.180290835790820836e+00
1.060311713815220003e+01,6.710723881485868958e+00,5.266071381448361066e+00,3.986517276258924269e+00,3.579573255744360250e+00,3.039833999538714693e+00,2.748134239842297433e+00,2.355915536540245103e+00
1.092621095652301122e+01,6.670931140334571907e+00,5.241969332159976958e+00,3.895232334006255126e+00,3.470023028555574207e+00,3.049982295661838538e+00,2.712352959885097281e+00,2.322406115946705984e+00
1.094541072640788215e+01,6.606125210543305926e+00,5.325359632542750354e+00,3.863107797976205848e+00,3.476357346398412318e+00,2.946372212728971540e+00,2.662581523105184367e+00,2.273357131768691364e+00
1.070313020905398460e+01,6.600087233748151760e+00,5.261332832365781087e+00,3.834998553075438021e+00,3.449823491346113435e+00,3.006704410616531042e+00,2.591600641904964419e+00,2.527548556647770450e+00
1.068972065639540148e+01,6.763367491791916208e+00,5.233268509804997137e+00,3.780134734784001971e+00,3.404138546294869005e+00,2.972287078205150035e+00,2.548789662292657354e+00,2.483040743002865369e+00
1.059073552982365385e+01,6.661522612262796628e+00,5.241769004099805507e+00,3.757232494866659334e+00,3.379644051791617088e+00,2.946648839345935578e+00,2.587959263234703489e+00,2.444454643939284466e+00
1.047940958885586937e+01,6.591736714770288330e+00,5.219541181750416925e+00,3.879696167245668903e+00,3.518531846183912126e+00,2.893779405568492447e+00,2.549246502020951599e+00,2.398488057220338643e+00
1.074706731226963896e+01,6.496508000865491184e+00,5.166798508927925582e+00,3.826496795212558588e+00,3.502070670541499009e+00,2.861088847480685704e+00,2.532892666206522758e+00,2.381987082276562084e+00
1.104141425265481757e+01,6.490046329896751232e+00,5.052402354297043985e+00,3.754288283805091275e+00,3.459118880153550180e+00,2.788950857867057209e+00,2.521391918467574822e+00,2.402709769428112541e+00
1.087063741992669463e+01,6.406745839528269926e+00,4.962963928759668519e+00,3.746776569559301162e+00,3.534859984457838333e+00,2.780225353364494723e+00,2.725622346346738833e+00,2.376455992319126853e+00
1.063035904745550653e+01,6.278873111152627473e+00,4.847014478944583260e+00,4.282694269609678805e+00,3.486828548769310032e+00,2.751877639943578036e+00,2.696669248656510920e+00,2.463687698849322150e+00
1.055647483994450297e+01,6.209835215359639449e+00,4.776298762546250742e+00,4.191185481378375322e+00,3.687247362520150062e+00,2.805319472326155861e+00,2.658286994897956834e+00,2.417083474901513540e+00
1.045045088331776029e+01,6.300465506553473816e+00,4.745093551868004411e+00,4.164429573695893616e+00,3.643717874218609154e+00,2.757615470952963221e+00,2.597112143589019428e+00,2.360260660533117338e+00
1.039455133246545770e+01,6.244474074263893115e+00,4.772981784223904178e+00,4.221328994179137872e+00,3.607805798275942166e+00,2.757470672604618755e+00,2.574640355119874435e+00,2.334796237684584330e+00
1.022516778876958909e+01,6.236703278480941748e+00,4.774165995660458073e+00,4.211811562207452120e+00,3.585558155009097359e+00,2.934789196943460077e+00,2.515564209628795567e+00,2.473373966949936609e+00
1.011476674513684060e+01,6.225093931523145940e+00,4.760878872463470302e+00,4.210819310953786143e+00,3.586086592767415482e+00,2.925688093489633879e+00,2.521844170498651838e+00,2.463762495366346617e+00
9.924498442902056183e+00,6.163159977313762639e+00,4.803529010161431856e+00,4.412512455494274732e+00,3.601147541250787398e+00,2.897265738859699180e+00,2.486957828195202946e+00,2.430357548136543144e+00
9.908321606943328419e+00,6.203209201421145735e+00,4.868320763885837010e+00,4.425305923180511414e+00,3.599576105213850408e+00,2.942187390920556034e+00,2.458151410108610602e+00,2.414908054354633293e+00
9.802450628839704194e+00,6.155932683420834550e+00,4.854952848926182618e+00,4.430560376394542921e+00,3.554283618417597879e+00,2.903801543284593389e+00,2.582563780497819650e+00,2.408072682680752585e+00
9.628855367104833363e+00,6.412409775881014795e+00,4.881254510645072209e+00,4.334094936722268976e+00,3.556293243664288006e+00,2.844540039305453405e+00,2.634962988920692695e+00,2.351128989203671971e+00
9.508576705054601064e+00,6.368840982301637865e+00,5.029254835026485182e+00,4.301040106853691647e+00,3.503133979366414241e+00,3.006393861079847962e+00,2.618010763068358226e+00,2.340113928704731006e+00
9.401871584193884246e+00,6.398989013525831382e+00,4.972357849898158655e+00,4.259551385744608787e+00,3.465119859563071891e+00,2.969546742518036186e+00,2.607119628347772888e+00,2.307417873784958218e+00
9.353746767034746057e+00,6.416512116722294934e+00,4.922975095236726162e+00,4.219784543161667401e+00,3.485336773554570833e+00,2.949286228775032104e+00,2.608953704573278909e+00,2.286197116773349691e+00
