cell_rank,dpt
105,0.9982092846378807
106,0.9984953902353109
107,0.9996020537400315
108,1.0009913712459118
109,1.0014870802303986
110,1.0016529779520589
111,1.0020288040986411
112,1.0030545212215582
113,1.003689262968449
114,1.0045667263179296
115,1.004872717952379
116,1.005872278442913
117,1.0060332349373018
118,1.00658593517497
119,1.0107560324384952
120,1.0110733877059894
121,1.0111977205196712
122,1.012552854243872
123,1.0127480057523957
124,1.0128849903113526
125,1.0152744681232346
126,1.0161953175168317
127,1.0163342041380106
128,1.0174716390773473
129,1.0179548358740158
130,1.0182864433795826
131,1.0204962445612034
132,1.0206845627784626
133,1.0223040541168567
134,1.0224874564250621
135,1.0228336484019522
136,1.0237124663283657
137,1.024263389367489
138,1.026015796476298
139,1.0261774082791848
140,1.0268250499142832
141,1.026903988215598
142,1.0273303171168922
143,1.0293009925309766
144,1.0294852158106638
145,1.0300299174092065
146,1.030066659093329
147,1.0306623125150722
148,1.030668305451096
149,1.0310189235047424
150,1.0314319296397036
151,1.0316186661020479
152,1.0318508446517927
153,1.0324720392007527
154,1.03256154034861
155,1.0356186455049257
156,1.0361245009379834
157,1.0374604485344028
158,1.037644862041682
159,1.0384452974302032
160,1.0393036619702278
161,1.0395194939975883
162,1.0399202489377142
163,1.0400377111238022
164,1.0405765479759153
165,1.0412814690546979
166,1.0414078441119423
167,1.0419494088420693
168,1.0419742808931278
169,1.0420250758055256
170,1.0427299204836724
171,1.0428010395805132
172,1.043641908946687
173,1.0440381513396944
174,1.044913606106578
175,1.045025374025931
176,1.0470698890649484
177,1.0477124704073204
178,1.0489026843528508
179,1.0491876633954171
180,1.04953006683895
181,1.0551977060235869
182,1.0563659619968977
183,1.0564190009030414
184,1.0567415267871052
185,1.0568378582872462
186,1.0578031114733926
187,1.0578415088834827
188,1.058036910250973
189,1.0596631218744084
190,1.059849328750656
191,1.0606161881885723
192,1.0608911796528413
193,1.0610151947084223
194,1.0611643655363017
195,1.0614810902023353
196,1.0617189602738395
197,1.0619194560697562
198,1.0633766075487456
199,1.0646724418999343
200,1.065533047098292
201,1.0656890293966204
202,1.0668618191752537
203,1.0670383330173976
204,1.0673408744546804
205,1.0673528496558264
206,1.0677350676806057
207,1.0705301529486932
208,1.0715656167808734
209,1.071826530593605
210,1.075405092376838
211,1.0764416591701322
212,1.0768971544723305
213,1.0771840122086809
214,1.0792163285041545
215,1.0803404558217622
216,1.0807450487663073
217,1.082112598890888
218,1.0823080806615784
219,1.0838325536876516
220,1.0841541428814245
221,1.0845391920944605
222,1.0861358273936352
223,1.0861663798753411
224,1.0890616253275192
225,1.0892366122159411
226,1.0917124768848665
227,1.0935874617983694
228,1.093871509049743
229,1.0940914151482624
230,1.0941821577426727
231,1.0948455474928305
232,1.0949938769167071
233,1.0959441160811603
234,1.097086508047283
235,1.0974735008649108
236,1.0993359125530204
237,1.0999971029803395
238,1.1031346907038173
239,1.103716726987336
240,1.1039252588668478
241,1.1041459346920404
