eig1,eig2,eig3,eig4,eig5,eig6,eig7,eig8
4.377921667638621450e+00,2.313321786880905062e+00,1.994760299642869494e+00,1.424966944207953112e+00,5.999440666320013937e-01,4.263857639959324763e-01,3.277702013415956794e-01,2.577553703735243062e-01
4.392994711869242508e+00,2.313635507811992120e+00,1.995240042659444546e+00,1.423039638793551109e+00,5.993410282377029663e-01,4.256817318908633352e-01,3.280547310636304781e-01,2.578782575281811651e-01
4.407859053059466348e+00,2.314001238698945695e+00,1.995710652184567113e+00,1.421131880614563636e+00,5.987490767678478321e-01,4.249915021191583153e-01,3.283495557972690992e-01,2.580015567096129447e-01
4.422519769782197407e+00,2.314417443333069979e+00,1.996172540100559445e+00,1.419243636289629018e+00,5.981680914735161281e-01,4.243146822005459673e-01,3.286543792928046659e-01,2.581251368114897415e-01
4.436981800867409120e+00,2.314882626236076213e+00,1.996626094920727290e+00,1.417374850363778638e+00,5.975979539398434959e-01,4.236508963828141128e-01,3.289689224405676904e-01,2.582488680145045845e-01
4.451249948621745389e+00,2.315395330548787101e+00,1.997071683851698198e+00,1.415525448167979317e+00,5.970385484292893841e-01,4.229997845011276292e-01,3.292929222672467682e-01,2.583726221008310064e-01
4.465328881975434427e+00,2.315954136251086926e+00,1.997509654627164233e+00,1.413695338405977164e+00,5.964897621799091221e-01,4.223610010240915202e-01,3.296261309427638286e-01,2.584962727631403001e-01
4.479223139572406254e+00,2.316557658679739173e+00,1.997940337135957645e+00,1.411884415487193900e+00,5.959514856603720379e-01,4.217342142550933870e-01,3.299683148064831983e-01,2.586196959047654120e-01
4.492937132816878787e+00,2.317204547309962503e+00,1.998364044865403644e+00,1.410092561623487617e+00,5.954236127842065240e-01,4.211191056616829242e-01,3.303192534196927044e-01,2.587427699278253557e-01
4.506475148887441051e+00,2.317893484766845980e+00,1.998781076179049654e+00,1.408319648706812588e+00,5.949060410861596315e-01,4.205153693094097478e-01,3.306787386495490533e-01,2.588653760064447695e-01
4.519841353726850919e+00,2.318623186033464734e+00,1.999191715446325235e+00,1.406565539984182545e+00,5.943986718637600530e-01,4.199227113798866262e-01,3.310465737882546389e-01,2.589873983426118631e-01
4.533039795014081719e+00,2.319392397823940577e+00,1.999596234040196041e+00,1.404830091545754556e+00,5.939014102873124701e-01,4.193408497557449266e-01,3.314225727099686103e-01,2.591087244026843428e-01
4.546074405122739748e+00,2.320199898091563018e+00,1.999994891217577564e+00,1.403113153641301736e+00,5.934141654814490963e-01,4.187695136577543886e-01,3.318065590669299070e-01,2.592292451330073799e-01
4.558949004068514554e+00,2.321044495644195127e+00,2.000387934895984987e+00,1.401414571839716849e+00,5.929368505812934176e-01,4.182084433217113650e-01,3.321983655253545331e-01,2.593488551535934605e-01
4.571667302446709158e+00,2.321925029841755972e+00,2.000775602338791703e+00,1.399734188045627548e+00,5.924693827661124956e-01,4.176573897047452522e-01,3.325978330411388795e-01,2.594674529292167464e-01
4.584232904359637040e+00,2.322840370353067563e+00,2.001158120760331283e+00,1.398071841386502534e+00,5.920116832731364687e-01,4.171161142125049959e-01,3.330048101747295486e-01,2.595849409177146683e-01
4.596649310332673544e+00,2.323789416952051656e+00,2.001535707861056945e+00,1.396427368982939621e+00,5.915636773939980664e-01,4.165843884403181430e-01,3.334191524442496335e-01,2.597012256955915088e-01
4.608919920216916211e+00,2.324771099335967151e+00,2.001908572302057543e+00,1.394800606614126748e+00,5.911252944560548839e-01,4.160619939227910846e-01,3.338407217156414974e-01,2.598162180613563521e-01
4.621048036075690923e+00,2.325784376950883026e+00,2.002276914127173679e+00,1.393191389289668791e+00,5.906964677906058059e-01,4.155487218875657529e-01,3.342693856284120746e-01,2.599298331172479326e-01
